Open time,Open,High,Low,Close,Volume
1532217600000.0,0.01126,0.011316,0.010986,0.011109,134671.49
1532304000000.0,0.011103,0.01125,0.010524,0.01054,124857.44
1532390400000.0,0.010533,0.01113,0.01032,0.010629,175644.7
1532476800000.0,0.010601,0.010748,0.010395,0.010564,158351.91
1532563200000.0,0.010563,0.01062,0.010413,0.01053,145247.62
1532649600000.0,0.01053,0.01056,0.010221,0.010321,147078.45
1532736000000.0,0.010307,0.010334,0.010157,0.01022,138103.69
1532822400000.0,0.010218,0.01031,0.010166,0.010203,134284.51
1532908800000.0,0.010213,0.010304,0.010035,0.01005,141521.79
1532995200000.0,0.010053,0.01023,0.009836,0.010195,154749.8
1533081600000.0,0.010195,0.010317,0.010118,0.010212,146437.86
1533168000000.0,0.010214,0.010231,0.01006,0.010111,134128.97
1533254400000.0,0.010111,0.01049,0.010101,0.010457,145679.18
1533340800000.0,0.01046,0.010671,0.010301,0.010415,144299.24
1533427200000.0,0.010423,0.010656,0.010388,0.010626,136200.49
1533513600000.0,0.010613,0.010761,0.010518,0.010614,139314.67
1533600000000.0,0.010616,0.010657,0.009938,0.010018,166066.47
1533686400000.0,0.010015,0.0102,0.00975,0.009885,169169.67
1533772800000.0,0.009885,0.010084,0.009612,0.00963,162167.92
1533859200000.0,0.00963,0.009771,0.009548,0.009612,157272.61
1533945600000.0,0.009605,0.009617,0.009045,0.00927,167444.16
1534032000000.0,0.009255,0.009723,0.009234,0.009396,136642.69
1534118400000.0,0.00939,0.009391,0.00895,0.009037,160895.24
1534204800000.0,0.009041,0.009049,0.008345,0.008773,182234.61
1534291200000.0,0.008781,0.009012,0.008613,0.008665,200427.37
1534377600000.0,0.008665,0.008916,0.008662,0.008763,141360.04
1534464000000.0,0.008763,0.009414,0.008728,0.009391,190371.22
1534550400000.0,0.009392,0.009424,0.008699,0.00893,179034.44
1534636800000.0,0.008937,0.009147,0.008811,0.008915,178614.41
1534723200000.0,0.008914,0.008976,0.008488,0.008544,176185.83
